date,year,month,tmax,tmin,prec
1981-01-01,1981,1,8.2,-0.0,14.6
1981-01-02,1981,1,6.5,-0.2,41.9
1981-01-03,1981,1,5.6,-3.6,5.2
1981-01-04,1981,1,7.5,-0.0,8.7
1981-01-05,1981,1,8.1,0.5,14.5
1981-01-06,1981,1,7.9,1.0,38.4
1981-01-07,1981,1,4.0,-6.2,0
1981-01-08,1981,1,6.1,-1.3,16.8
1981-01-09,1981,1,7.1,0.0,35.4
1981-01-10,1981,1,5.5,-1.7,5.8
1981-01-11,1981,1,4.6,-2.8,4.6
1981-01-12,1981,1,6.7,-0.7,60.4
1981-01-13,1981,1,14.7,6.9,20.1
1981-01-14,1981,1,7.2,-2.4,28.7
1981-01-15,1981,1,8.3,-0.4,6.8
1981-01-16,1981,1,10.2,2.8,2.4
1981-01-17,1981,1,9.7,0.9,7.0
1981-01-18,1981,1,9.1,4.7,16.0
1981-01-19,1981,1,7.0,0.4,21.3
1981-01-20,1981,1,5.8,-0.1,29.4
1981-01-21,1981,1,7.1,-1.5,42.7
1981-01-22,1981,1,6.6,-2.7,65.6
1981-01-23,1981,1,5.8,-2.7,90.0
1981-01-24,1981,1,3.1,-4.5,4.6
1981-01-25,1981,1,3.5,-7.0,25.4
1981-01-26,1981,1,6.3,1.3,16.7
1981-01-27,1981,1,3.2,-4.8,7.4
1981-01-28,1981,1,6.9,-0.4,73.6
1981-01-29,1981,1,7.7,-1.2,9.1
1981-01-30,1981,1,8.3,1.3,70.3
1981-01-31,1981,1,1.9,-5.5,33.8
1981-02-01,1981,2,9.1,2.6,2.6
1981-02-02,1981,2,15.5,6.0,13.5
1981-02-03,1981,2,10.3,2.6,0
1981-02-04,1981,2,9.6,-0.1,5.3
1981-02-05,1981,2,9.8,1.7,0
1981-02-06,1981,2,6.9,-1.1,0
1981-02-07,1981,2,17.5,8.7,15.1
1981-02-08,1981,2,13.4,5.6,0
1981-02-09,1981,2,9.1,2.1,9.1
1981-02-10,1981,2,10.5,3.0,21.8
1981-02-11,1981,2,12.0,1.8,2.1
1981-02-12,1981,2,14.1,6.8,23.6
1981-02-13,1981,2,8.8,0.6,0
1981-02-14,1981,2,12.1,4.6,0
1981-02-15,1981,2,14.1,7.5,0
1981-02-16,1981,2,7.5,-0.1,18.1
1981-02-17,1981,2,18.2,11.4,1.5
1981-02-18,1981,2,10.2,2.5,0
1981-02-19,1981,2,15.4,5.9,8.0
1981-02-20,1981,2,13.2,4.2,4.0
1981-02-21,1981,2,11.9,3.7,0
1981-02-22,1981,2,11.8,6.9,5.8
1981-02-23,1981,2,13.8,7.1,0
1981-02-24,1981,2,11.4,2.7,0
1981-02-25,1981,2,9.8,3.2,34.5
1981-02-26,1981,2,14.1,5.9,5.1
1981-02-27,1981,2,9.6,-0.2,3.6
1981-02-28,1981,2,13.8,6.1,9.2
1981-03-01,1981,3,18.5,8.6,3.7
1981-03-02,1981,3,22.4,13.2,0.5
1981-03-03,1981,3,18.8,10.0,0.6
1981-03-04,1981,3,21.9,12.5,0
1981-03-05,1981,3,25.8,16.6,0
1981-03-06,1981,3,19.4,12.0,0
1981-03-07,1981,3,23.1,14.9,0
1981-03-08,1981,3,19.6,10.8,0
1981-03-09,1981,3,16.9,7.0,0
1981-03-10,1981,3,22.9,15.0,0
1981-03-11,1981,3,23.7,14.3,0.1
1981-03-12,1981,3,17.5,10.5,0
1981-03-13,1981,3,18.0,10.4,0
1981-03-14,1981,3,20.4,13.6,0
1981-03-15,1981,3,14.9,5.1,0
1981-03-16,1981,3,30.5,18.7,1.5
1981-03-17,1981,3,19.3,10.2,1.3
1981-03-18,1981,3,17.4,10.7,0
1981-03-19,1981,3,18.2,11.5,7.9
1981-03-20,1981,3,20.1,11.4,1.0
1981-03-21,1981,3,14.3,5.0,0
1981-03-22,1981,3,20.7,13.4,7.8
1981-03-23,1981,3,17.2,7.2,7.0
1981-03-24,1981,3,23.1,12.4,8.8
1981-03-25,1981,3,20.8,14.3,4.0
1981-03-26,1981,3,15.7,9.2,2.5
1981-03-27,1981,3,21.9,12.4,0
1981-03-28,1981,3,23.6,17.6,0
1981-03-29,1981,3,18.0,8.2,2.5
1981-03-30,1981,3,21.3,14.8,9.4
1981-03-31,1981,3,18.0,9.6,0.8
1981-04-01,1981,4,31.9,23.5,7.8
1981-04-02,1981,4,30.3,20.9,9.0
1981-04-03,1981,4,26.5,17.7,10.9
1981-04-04,1981,4,28.0,19.7,1.4
1981-04-05,1981,4,27.2,17.7,0
1981-04-06,1981,4,24.3,12.9,16.7
1981-04-07,1981,4,30.6,20.6,16.9
1981-04-08,1981,4,28.7,22.7,0
1981-04-09,1981,4,28.7,22.3,1.8
1981-04-10,1981,4,26.6,20.9,0
1981-04-11,1981,4,24.7,15.3,2.9
1981-04-12,1981,4,28.4,18.7,5.0
1981-04-13,1981,4,31.0,23.3,6.4
1981-04-14,1981,4,31.7,25.0,22.2
1981-04-15,1981,4,21.9,12.3,4.3
1981-04-16,1981,4,32.3,23.1,2.6
1981-04-17,1981,4,29.0,21.3,8.4
1981-04-18,1981,4,22.9,14.1,11.6
1981-04-19,1981,4,29.1,19.9,5.4
1981-04-20,1981,4,24.7,17.6,21.7
1981-04-21,1981,4,30.7,22.9,4.8
1981-04-22,1981,4,27.0,18.3,0
1981-04-23,1981,4,27.1,19.4,4.9
1981-04-24,1981,4,22.3,16.9,7.8
